Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient Precision,Lenient Recall,Lenient $F_1$,Average Precision,Average Recall,Average $F_1$,Accuracy,Tokens,Number Training Inst,Number Training Docs,Time Training,Time Testing
[InstituceToken],1,1,baseline,Key,a,20130131_162020,0,624,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9622869575728272,16546,-1,-1,-1,-1
[InstituceToken],1,2,baseline,Key,a,20130131_162020,0,649,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.973086174006801,24114,-1,-1,-1,-1
[InstituceToken],1,3,baseline,Key,a,20130131_162020,0,532,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9676890373519587,16465,-1,-1,-1,-1
[InstituceToken],1,4,baseline,Key,a,20130131_162020,0,624,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9689984101748808,20128,-1,-1,-1,-1
[InstituceToken],1,5,baseline,Key,a,20130131_162020,0,561,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9628673550436855,15108,-1,-1,-1,-1
[InstituceToken],1,6,baseline,Key,a,20130131_162020,0,647,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9642817710058518,18114,-1,-1,-1,-1
[InstituceToken],1,7,baseline,Key,a,20130131_162020,0,534,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.964530056459648,15055,-1,-1,-1,-1
[InstituceToken],1,8,baseline,Key,a,20130131_162020,0,625,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9536762525941298,13492,-1,-1,-1,-1
[InstituceToken],1,9,baseline,Key,a,20130131_162020,0,868,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9717291469888936,30703,-1,-1,-1,-1
[InstituceToken],1,10,baseline,Key,a,20130131_162020,0,656,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9690668175602395,21207,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,1,baseline,Key,a,20130131_162041,0,689,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9583585156533301,16546,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,2,baseline,Key,a,20130131_162041,0,636,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9736252799203782,24114,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,3,baseline,Key,a,20130131_162041,0,556,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9662313999392651,16465,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,4,baseline,Key,a,20130131_162041,0,757,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9623906995230525,20128,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,5,baseline,Key,a,20130131_162041,0,672,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9555202541699762,15108,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,6,baseline,Key,a,20130131_162041,0,642,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9645578005962239,18114,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,7,baseline,Key,a,20130131_162041,0,745,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9505147791431419,15055,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,8,baseline,Key,a,20130131_162041,0,608,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9549362585235696,13492,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,9,baseline,Key,a,20130131_162041,0,993,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.967657883594437,30703,-1,-1,-1,-1
[Rozhodnuti_souduToken],2,10,baseline,Key,a,20130131_162041,0,772,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9635969255434527,21207,-1,-1,-1,-1
[UcinnostToken],3,1,baseline,Key,a,20130131_162100,0,40,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9975824972803095,16546,-1,-1,-1,-1
[UcinnostToken],3,2,baseline,Key,a,20130131_162100,0,44,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9981753338309696,24114,-1,-1,-1,-1
[UcinnostToken],3,3,baseline,Key,a,20130131_162100,0,48,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9970847251746128,16465,-1,-1,-1,-1
[UcinnostToken],3,4,baseline,Key,a,20130131_162100,0,58,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9971184419713831,20128,-1,-1,-1,-1
[UcinnostToken],3,5,baseline,Key,a,20130131_162100,0,36,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9976171564733916,15108,-1,-1,-1,-1
[UcinnostToken],3,6,baseline,Key,a,20130131_162100,0,40,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9977917632770233,18114,-1,-1,-1,-1
[UcinnostToken],3,7,baseline,Key,a,20130131_162100,0,40,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9973430753902358,15055,-1,-1,-1,-1
[UcinnostToken],3,8,baseline,Key,a,20130131_162100,0,48,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9964423361992292,13492,-1,-1,-1,-1
[UcinnostToken],3,9,baseline,Key,a,20130131_162100,0,48,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9984366348565287,30703,-1,-1,-1,-1
[UcinnostToken],3,10,baseline,Key,a,20130131_162100,0,60,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9971707455085584,21207,-1,-1,-1,-1
[ZakonToken],4,1,baseline,Key,a,20130131_162119,0,1159,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9299528586969661,16546,-1,-1,-1,-1
[ZakonToken],4,2,baseline,Key,a,20130131_162119,0,933,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9613087832794227,24114,-1,-1,-1,-1
[ZakonToken],4,3,baseline,Key,a,20130131_162119,0,973,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.940904949893714,16465,-1,-1,-1,-1
[ZakonToken],4,4,baseline,Key,a,20130131_162119,0,1580,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9215023847376789,20128,-1,-1,-1,-1
[ZakonToken],4,5,baseline,Key,a,20130131_162119,0,722,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.952210749271909,15108,-1,-1,-1,-1
[ZakonToken],4,6,baseline,Key,a,20130131_162119,0,1057,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9416473445953406,18114,-1,-1,-1,-1
[ZakonToken],4,7,baseline,Key,a,20130131_162119,0,800,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.946861507804716,15055,-1,-1,-1,-1
[ZakonToken],4,8,baseline,Key,a,20130131_162119,0,728,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9460420990216425,13492,-1,-1,-1,-1
[ZakonToken],4,9,baseline,Key,a,20130131_162119,0,1100,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9641728821287822,30703,-1,-1,-1,-1
[ZakonToken],4,10,baseline,Key,a,20130131_162119,0,1153,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9456311595227991,21207,-1,-1,-1,-1
