Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient Precision,Lenient Recall,Lenient $F_1$,Average Precision,Average Recall,Average $F_1$,Accuracy,Tokens,Number Training Inst,Number Training Docs,Time Training,Time Testing
[Dokument],1,5,Paum_small,Key,a,20130421_164224,0,14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,37364,4759
[Dokument],1,6,Paum_small,Key,a,20130421_164224,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,38706,3665
[Dokument],1,7,Paum_small,Key,a,20130421_164224,0,0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,-1,-1,39735,2854
[Dokument],1,8,Paum_small,Key,a,20130421_164224,0,0,1,1,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0.0,0,-1,-1,38378,4025
[Dokument],1,9,Paum_small,Key,a,20130421_164224,0,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,40032,3991
[Dokument],1,10,Paum_small,Key,a,20130421_164224,0,11,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,39314,4183
[Dokument],1,1,Paum_pos,Key,a,20130421_164224,3,9,1,0,0.75,0.25,0.375,0.75,0.25,0.375,0.75,0.25,0.375,0.0,0,-1,-1,79127,7442
[Dokument],1,2,Paum_pos,Key,a,20130421_164224,4,6,6,1,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.0,0,-1,-1,80171,7332
[Dokument],1,3,Paum_pos,Key,a,20130421_164224,0,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,81513,6335
[Dokument],1,4,Paum_pos,Key,a,20130421_164224,1,8,5,0,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.0,0,-1,-1,80338,6506
[Dokument],1,5,Paum_pos,Key,a,20130421_164224,0,13,3,1,0.0,0.0,0.0,0.25,0.07142857142857142,0.11111111111111112,0.125,0.03571428571428571,0.05555555555555556,0.0,0,-1,-1,78610,8720
[Dokument],1,6,Paum_pos,Key,a,20130421_164224,0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,80483,6692
[Dokument],1,7,Paum_pos,Key,a,20130421_164224,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,-1,-1,82307,5319
[Dokument],1,8,Paum_pos,Key,a,20130421_164224,0,0,1,1,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0.0,0,-1,-1,80343,7333
[Dokument],1,9,Paum_pos,Key,a,20130421_164224,0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,83198,7300
[Dokument],1,10,Paum_pos,Key,a,20130421_164224,0,11,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,80873,7610
[Instituce],2,1,Paum_small,Key,a,20130421_174240,394,18,108,0,0.7848605577689243,0.9563106796116505,0.862144420131291,0.7848605577689243,0.9563106796116505,0.862144420131291,0.7848605577689243,0.9563106796116505,0.862144420131291,0.0,0,-1,-1,44493,4431
[Instituce],2,2,Paum_small,Key,a,20130421_174240,339,11,143,3,0.6989690721649484,0.9603399433427762,0.8090692124105011,0.7051546391752578,0.9688385269121813,0.8162291169451074,0.702061855670103,0.9645892351274787,0.8126491646778042,0.0,0,-1,-1,46989,4303
[Instituce],2,3,Paum_small,Key,a,20130421_174240,255,6,192,9,0.5592105263157895,0.9444444444444444,0.7024793388429752,0.5789473684210527,0.9777777777777777,0.7272727272727273,0.569078947368421,0.961111111111111,0.7148760330578512,0.0,0,-1,-1,47114,3588
[Instituce],2,4,Paum_small,Key,a,20130421_174240,272,14,170,1,0.6139954853273137,0.9477351916376306,0.7452054794520547,0.6162528216704289,0.9512195121951219,0.7479452054794522,0.6151241534988714,0.9494773519163763,0.7465753424657535,0.0,0,-1,-1,47238,3696
[Instituce],2,5,Paum_small,Key,a,20130421_174240,442,30,152,11,0.7305785123966942,0.9151138716356108,0.8125,0.7487603305785124,0.937888198757764,0.832720588235294,0.7396694214876034,0.9265010351966874,0.822610294117647,0.0,0,-1,-1,43776,5010
[Instituce],2,6,Paum_small,Key,a,20130421_174240,328,14,125,5,0.7161572052401747,0.9452449567723343,0.8149068322981367,0.7270742358078602,0.9596541786743515,0.8273291925465839,0.7216157205240175,0.9524495677233429,0.8211180124223603,0.0,0,-1,-1,45148,3775
[Instituce],2,7,Paum_small,Key,a,20130421_174240,242,25,137,4,0.6318537859007833,0.8929889298892989,0.7400611620795107,0.6422976501305483,0.9077490774907749,0.7522935779816514,0.6370757180156659,0.9003690036900369,0.746177370030581,0.0,0,-1,-1,46022,3121
[Instituce],2,8,Paum_small,Key,a,20130421_174240,370,14,99,2,0.7855626326963907,0.9585492227979274,0.8634772462077013,0.7898089171974523,0.9637305699481865,0.8681446907817969,0.7876857749469215,0.961139896373057,0.865810968494749,0.0,0,-1,-1,44930,4086
[Instituce],2,9,Paum_small,Key,a,20130421_174240,388,8,132,3,0.7418738049713193,0.9724310776942355,0.841648590021692,0.7476099426386233,0.9799498746867168,0.8481561822125813,0.7447418738049714,0.9761904761904762,0.8449023861171366,0.0,0,-1,-1,44790,3918
[Instituce],2,10,Paum_small,Key,a,20130421_174240,399,40,168,12,0.689119170984456,0.88470066518847,0.7747572815533981,0.7098445595854922,0.9113082039911308,0.7980582524271844,0.6994818652849741,0.8980044345898004,0.7864077669902912,0.0,0,-1,-1,43589,4181
[Instituce],2,1,Paum_pos,Key,a,20130421_174240,396,14,117,2,0.7689320388349514,0.9611650485436893,0.8543689320388349,0.7728155339805826,0.9660194174757282,0.8586839266450916,0.770873786407767,0.9635922330097088,0.8565264293419632,0.0,0,-1,-1,95334,8297
[Instituce],2,2,Paum_pos,Key,a,20130421_174240,339,11,137,3,0.7077244258872651,0.9603399433427762,0.814903846153846,0.7139874739039666,0.9688385269121813,0.8221153846153846,0.7108559498956158,0.9645892351274787,0.8185096153846153,0.0,0,-1,-1,97223,7979
[Instituce],2,3,Paum_pos,Key,a,20130421_174240,256,7,190,7,0.565121412803532,0.9481481481481482,0.7081604426002767,0.5805739514348786,0.9740740740740741,0.7275242047026279,0.5728476821192052,0.9611111111111111,0.7178423236514523,0.0,0,-1,-1,101029,6491
[Instituce],2,4,Paum_pos,Key,a,20130421_174240,276,10,166,1,0.6230248306997742,0.9616724738675958,0.7561643835616437,0.6252821670428894,0.9651567944250871,0.758904109589041,0.6241534988713318,0.9634146341463414,0.7575342465753423,0.0,0,-1,-1,93324,6743
[Instituce],2,5,Paum_pos,Key,a,20130421_174240,441,33,147,9,0.7386934673366834,0.9130434782608695,0.8166666666666668,0.7537688442211056,0.9316770186335404,0.8333333333333333,0.7462311557788945,0.9223602484472049,0.825,0.0,0,-1,-1,89156,9110
[Instituce],2,6,Paum_pos,Key,a,20130421_174240,331,13,126,3,0.7195652173913043,0.9538904899135446,0.8203221809169763,0.7260869565217392,0.962536023054755,0.8277571251548947,0.7228260869565217,0.9582132564841499,0.8240396530359355,0.0,0,-1,-1,92635,6955
[Instituce],2,7,Paum_pos,Key,a,20130421_174240,251,17,133,3,0.648578811369509,0.9261992619926199,0.7629179331306991,0.6563307493540051,0.9372693726937269,0.7720364741641337,0.6524547803617571,0.9317343173431734,0.7674772036474165,0.0,0,-1,-1,94260,5674
[Instituce],2,8,Paum_pos,Key,a,20130421_174240,361,19,99,6,0.7746781115879828,0.9352331606217616,0.8474178403755869,0.7875536480686696,0.9507772020725389,0.8615023474178404,0.7811158798283262,0.9430051813471503,0.8544600938967136,0.0,0,-1,-1,91637,7489
[Instituce],2,9,Paum_pos,Key,a,20130421_174240,382,14,123,3,0.7519685039370079,0.9573934837092731,0.8423373759647188,0.7578740157480315,0.9649122807017544,0.8489525909592063,0.7549212598425197,0.9611528822055138,0.8456449834619626,0.0,0,-1,-1,90905,7206
[Instituce],2,10,Paum_pos,Key,a,20130421_174240,400,47,167,4,0.7005253940455342,0.8869179600886918,0.7827788649706459,0.7075306479859895,0.8957871396895787,0.7906066536203523,0.7040280210157619,0.8913525498891353,0.7866927592954991,0.0,0,-1,-1,89578,7520
[Instituce],2,1,Paum,Key,a,20130421_174240,400,11,111,1,0.78125,0.970873786407767,0.8658008658008659,0.783203125,0.9733009708737864,0.867965367965368,0.7822265625,0.9720873786407767,0.866883116883117,0.0,0,-1,-1,56771,5773
[Instituce],2,2,Paum,Key,a,20130421_174240,343,6,138,4,0.7072164948453609,0.9716713881019831,0.8186157517899761,0.7154639175257732,0.9830028328611898,0.8281622911694512,0.711340206185567,0.9773371104815864,0.8233890214797137,0.0,0,-1,-1,57850,5357
