Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient Precision,Lenient Recall,Lenient $F_1$,Average Precision,Average Recall,Average $F_1$,Accuracy,Tokens,Number Training Inst,Number Training Docs,Time Training,Time Testing
[Dokument],1,1,Paum_pos,Key,a,20130421_103221,12,9,4,1,0.7058823529411765,0.5454545454545454,0.6153846153846153,0.7647058823529411,0.5909090909090909,0.6666666666666667,0.7352941176470589,0.5681818181818181,0.641025641025641,0.0,0,-1,-1,81217,7128
[Dokument],1,2,Paum_pos,Key,a,20130421_103221,13,4,0,2,0.8666666666666667,0.6842105263157895,0.7647058823529413,1.0,0.7894736842105263,0.8823529411764706,0.9333333333333333,0.736842105263158,0.823529411764706,0.0,0,-1,-1,80000,5758
[Dokument],1,3,Paum_pos,Key,a,20130421_103221,10,4,3,1,0.7142857142857143,0.6666666666666666,0.689655172413793,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.75,0.7,0.7241379310344827,0.0,0,-1,-1,77675,7879
[Dokument],1,4,Paum_pos,Key,a,20130421_103221,10,9,0,9,0.5263157894736842,0.35714285714285715,0.425531914893617,1.0,0.6785714285714286,0.8085106382978724,0.763157894736842,0.5178571428571429,0.6170212765957447,0.0,0,-1,-1,78065,7520
[Dokument],1,5,Paum_pos,Key,a,20130421_103221,9,5,0,4,0.6923076923076923,0.5,0.5806451612903226,1.0,0.7222222222222222,0.8387096774193548,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.0,0,-1,-1,78642,7206
[Dokument],1,6,Paum_pos,Key,a,20130421_103221,9,2,0,7,0.5625,0.5,0.5294117647058824,1.0,0.8888888888888888,0.9411764705882353,0.78125,0.6944444444444444,0.7352941176470589,0.0,0,-1,-1,78580,7130
[Dokument],1,7,Paum_pos,Key,a,20130421_103221,6,9,0,5,0.5454545454545454,0.3,0.3870967741935483,1.0,0.55,0.7096774193548387,0.7727272727272727,0.42500000000000004,0.5483870967741935,0.0,0,-1,-1,78315,7226
[Dokument],1,8,Paum_pos,Key,a,20130421_103221,12,6,3,3,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.75,0.6428571428571428,0.6923076923076923,0.0,0,-1,-1,76443,7301
[Dokument],1,9,Paum_pos,Key,a,20130421_103221,11,2,1,3,0.7333333333333333,0.6875,0.7096774193548386,0.9333333333333333,0.875,0.9032258064516129,0.8333333333333333,0.78125,0.8064516129032258,0.0,0,-1,-1,78674,6146
[Dokument],1,10,Paum_pos,Key,a,20130421_103221,7,9,1,3,0.6363636363636364,0.3684210526315789,0.4666666666666667,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.7727272727272727,0.4473684210526315,0.5666666666666667,0.0,0,-1,-1,77847,6613
